Crop Name,Ideal pH,Average Temperature,Yield,Nitrogen,Phosphorus,Potassium
Brussels Sprouts,6.2,24-25,9.49,6,6,19
Avocado,6.4,26-26,4.79,11,8,28
Ceylon Spinach,6.0,23-34,0.66,10,6,26
Carrots,6.5,27-28,5.42,5,14,16
Tomato,6.9,15-30,8.72,11,6,33
Cucumber,6.2,25-32,6.97,13,13,24
Nutmeg,6.6,20-28,7.17,11,5,24
Chamomile,6.2,17-27,2.28,13,13,39
Dill,5.6,23-35,6.47,14,9,30
Dragon Fruit,6.7,15-27,7.43,10,12,33
Ginger,6.0,18-25,3.08,9,10,39
Melons,6.5,17-34,1.81,13,13,18
Alfalfa,6.7,21-33,6.13,13,5,26
Celery,6.7,29-26,2.05,7,15,37
Cassava,6.1,29-30,4.94,12,12,15
Avocado,5.7,28-26,9.56,5,13,36
Neem,5.7,17-35,2.96,15,9,29
Broccoli,5.9,26-29,5.6,10,14,23
Dragon Fruit,6.5,20-35,8.69,12,9,28
Aloe Vera,6.4,27-25,9.81,11,14,37
Coconut,5.5,16-31,3.48,15,13,18
Chives,6.9,21-29,7.62,14,11,30
Radicchio,6.8,16-27,5.19,7,15,34
Tomato,6.0,27-31,7.07,12,14,19
Marjoram,6.6,19-33,3.65,8,10,31
Acerola Cherry,5.9,27-29,3.43,9,15,36
Coconut,6.1,17-29,7.36,11,5,18
Basil,5.6,22-30,4.19,12,6,30
Turmeric,5.9,22-29,9.24,11,10,27
Mushrooms,5.8,28-35,7.25,14,8,27
Luffa,6.5,24-35,1.87,7,12,37
Curry Leaves,6.0,21-26,6.67,7,15,32
Purslane,5.8,29-29,8.64,9,5,35
Parsley,5.8,30-31,3.27,6,13,22
Turmeric,6.6,27-35,7.58,5,5,26
Beets,6.1,21-32,4.33,10,11,17
Tomato,6.5,19-25,2.33,7,5,38
Snake Gourd,6.4,27-31,2.31,6,6,38
Lychee,5.6,26-25,2.18,12,15,17
Cauliflower,5.5,24-26,6.95,13,5,26
Green Onions,6.0,21-25,5.35,5,13,31
Chives,6.9,16-30,6.35,15,15,32
Artichoke,5.7,30-30,7.82,7,8,30
Microgreens,5.9,30-34,8.41,14,6,28
Pineapple,6.5,25-32,8.51,8,6,30
Yam,6.3,29-25,5.64,7,13,24
Endive,7.0,24-27,5.96,7,9,20
Watercress,6.5,29-30,6.29,13,10,38
Beets,6.6,16-34,0.86,5,14,38
Rose Apple,6.8,19-34,2.36,5,12,35
Yam,6.2,21-25,4.6,12,9,31
Cranberry,6.5,27-27,2.42,6,12,31
Dill,7.0,30-30,4.97,7,14,22
Artichoke,5.6,20-26,6.65,11,7,34
Lavender,5.7,23-27,9.24,7,10,35
Persimmon,6.0,17-25,3.01,13,14,35
Carrots,6.7,29-33,1.67,6,8,36
Mint,6.5,17-26,6.8,15,5,21
Gooseberry,6.2,21-30,3.28,9,9,28
Guava,6.2,29-33,8.25,8,6,25
Rose Apple,5.6,21-28,2.06,12,8,28
Eggplant,6.4,18-34,4.62,10,9,29
Cranberry,6.8,16-27,9.24,5,8,25
Fennel,6.8,24-33,6.11,7,12,38
Soursop,5.9,20-29,1.54,6,7,19
Gooseberry,6.7,23-30,7.01,14,5,36
Bok Choy,6.3,17-26,0.64,6,15,36
Beans,5.9,29-33,2.21,14,12,39
Gooseberry,6.0,16-26,7.71,5,12,32
Beets,6.4,25-34,8.84,11,15,24
Peppermint,6.7,21-27,6.33,8,6,27
Sunflower,6.4,28-35,9.39,5,15,24
Artichoke,5.6,29-27,5.8,9,14,16
Hops,5.8,16-29,6.28,6,6,36
Passionfruit,6.1,20-25,8.55,12,11,18
Strawberry,6.5,28-29,4.99,15,9,26
Artichoke,6.8,27-34,6.83,12,6,31
Peas,6.5,24-26,8.28,13,14,34
Echinacea,6.3,28-27,2.13,15,12,27
Strawberry,6.1,26-34,6.21,10,11,39
Spinach,6.0,25-28,4.75,14,10,33
Camellia,5.6,22-28,3.3,6,5,40
Horseradish,6.7,27-34,7.78,12,6,37
Zucchini,6.7,22-35,6.44,15,6,40
Coconut,6.1,17-27,5.25,9,11,17
Sunflower,6.6,30-32,2.11,10,12,34
Wasabi,6.1,22-30,2.0,9,11,40
Lavender,5.9,23-25,9.06,8,13,23
Mango,6.3,23-25,7.05,11,5,36
Papaya,7.0,21-31,2.14,7,12,40
Spinach,6.5,22-31,0.78,5,10,37
Swiss Chard,6.1,24-30,0.53,14,14,38
Star Fruit,5.9,28-33,3.63,12,13,29
Bitter Gourd,6.9,17-34,9.81,7,11,24
Dandelion Greens,6.2,21-25,8.57,14,10,33
Fennel,6.3,23-25,9.2,9,7,33
Ceylon Spinach,5.6,16-29,9.94,8,12,27
Bok Choy,6.5,27-29,9.28,14,13,27
Kiwi,5.8,20-35,7.74,9,10,36
Tomato,6.8,28-33,3.66,10,15,34
Hops,6.7,22-35,2.76,7,6,28
Tea,6.0,21-30,4.4,8,7,25
Parsley,5.7,19-27,9.69,5,6,17
Kale,5.9,27-28,8.74,7,7,23
Chives,5.8,29-29,3.66,13,15,25
Brussels Sprouts,5.6,15-31,5.72,15,5,17
Bael,6.1,29-27,0.53,6,9,20
Arugula,5.6,24-33,0.7,9,10,32
Betel Leaf,6.2,19-33,8.59,10,6,17
Yam,6.4,19-26,1.58,15,13,38
Guava,6.7,29-34,4.52,6,14,31
Arugula,6.8,25-29,6.48,6,13,37
Mustard Greens,5.7,24-25,2.85,12,5,38
Horseradish,5.6,20-35,1.01,15,14,36
Persimmon,6.7,20-33,4.15,5,11,30
Tarragon,7.0,26-33,2.46,12,14,27
Yam,5.8,25-32,8.68,10,11,22
Sunflower,6.0,28-29,5.79,10,12,33
Sugarcane,6.2,16-35,9.49,13,6,17
Watercress,6.1,17-31,2.99,15,14,37
Microgreens,6.9,28-34,5.85,6,7,40
Lemongrass,5.8,20-31,3.12,7,15,30
Yacon,6.9,19-26,7.6,9,10,21
Pumpkin,6.9,30-30,4.07,10,11,28
Mango,5.9,15-27,1.65,15,8,39
Papaya,6.1,30-35,8.56,9,7,34
Cranberry,6.3,30-33,7.91,12,12,21
Clove,6.9,18-35,8.61,10,10,17
Thyme,6.2,28-27,3.76,9,12,21
Yam,6.0,18-35,0.77,6,9,22
Carrots,6.5,30-31,9.62,13,8,16
Peppers,6.4,24-28,1.41,7,6,31
Mushrooms,6.2,16-29,1.88,13,12,40
Curry Leaves,6.2,23-27,8.36,7,13,39
Melons,6.4,21-29,0.65,5,10,29
Stevia,6.9,17-31,9.3,7,9,28
Ginger,5.9,24-32,9.44,8,8,36
Saffron,6.7,16-30,3.58,11,6,34
Mint,6.0,15-27,6.21,5,15,17
Fenugreek,5.6,27-25,2.95,8,10,19
Kale,6.6,18-35,9.43,8,15,40
Gooseberry,5.9,17-31,4.15,11,15,15
Eggplant,6.6,30-32,9.99,10,11,15
Marjoram,6.6,23-29,4.84,13,9,21
Oregano,6.4,15-26,3.97,12,10,28
Watercress,6.9,23-35,3.84,13,11,34
Watercress,6.7,29-31,2.92,13,12,35
Basil,6.7,20-31,6.11,8,9,33
Persimmon,5.5,24-30,2.44,10,6,22
Alfalfa,6.3,16-28,6.32,11,5,37
Sugarcane,5.9,24-29,3.02,10,13,40
Bitter Gourd,6.9,22-31,2.0,8,13,26
Turmeric,6.7,26-29,1.98,15,11,24
Peppermint,6.0,19-34,2.82,7,14,35
Gooseberry,6.3,26-29,6.35,6,7,38
Arugula,6.0,27-27,1.69,13,14,35
Basil,6.5,22-28,4.81,11,11,33
Chamomile,6.1,23-29,1.25,15,5,30
Mango,5.9,27-31,7.47,12,9,30
Cabbage,6.4,21-25,4.77,13,6,19
Sage,5.6,29-34,4.15,15,15,16
Mushrooms,6.0,15-33,7.36,5,12,18
Arugula,6.0,21-28,3.42,5,14,19
Mustard Greens,6.9,22-30,3.13,12,14,34
Nutmeg,6.1,17-28,3.16,14,6,17
Beets,6.8,18-27,5.5,6,10,36
Alfalfa,5.7,28-32,5.88,10,7,30
Guava,6.5,15-31,2.32,12,11,35
Mango,5.8,19-33,1.38,10,9,19
Echinacea,5.7,25-34,4.59,10,14,38
Lychee,6.6,19-28,3.12,11,13,40
Peppermint,6.4,23-28,3.31,12,13,33
Lettuce,5.9,23-25,1.48,7,6,27
Purslane,6.5,20-31,7.63,12,12,17
Horseradish,5.6,29-35,4.71,7,12,27
Guava,7.0,17-31,4.07,13,11,32
Fennel,6.1,23-30,5.62,7,12,33
Purslane,6.4,27-28,6.34,10,9,38
Sage,6.6,30-29,6.13,14,13,37
Yacon,6.5,15-34,5.54,13,10,38
Acerola Cherry,6.9,20-29,2.67,5,11,30
Acerola Cherry,6.0,22-31,4.65,5,14,30
Brussels Sprouts,6.7,17-25,7.04,11,12,16
Carrots,5.9,18-35,4.55,15,9,24
Ginger,7.0,26-26,7.76,8,15,18
Curry Leaves,6.5,27-27,8.59,15,9,22
Camellia,6.1,17-35,8.11,5,11,32
Celery,5.7,24-32,8.81,13,14,37
Cabbage,6.0,26-32,3.79,10,13,22
Carrots,6.7,26-27,7.56,9,15,33
Cranberry,5.8,19-27,3.32,5,5,26
Marjoram,6.3,23-32,5.18,13,11,27
Peanuts,5.9,29-32,8.34,15,5,37
Passionfruit,6.8,23-27,1.14,13,15,29
Camellia,5.6,30-33,3.3,13,5,30
Thyme,5.7,16-30,8.55,15,10,25
Yacon,6.7,26-35,5.94,15,10,38
Mango,6.9,22-25,9.26,11,7,29
Acerola Cherry,6.5,18-26,8.91,13,10,32
Camellia,6.1,17-29,7.35,14,7,33
Coconut,5.7,22-32,7.56,8,7,40
Betel Leaf,5.9,22-33,6.37,5,9,18
Dandelion Greens,5.8,24-32,9.81,9,11,21
Bitter Gourd,7.0,23-34,8.43,8,7,37
Coffee,5.7,25-28,6.68,9,6,36
Rosemary,6.6,24-25,9.43,13,7,26
Watermelon,6.3,20-35,7.44,6,7,31
Blueberry,5.7,15-25,3.0,8,10,25
Swiss Chard,6.0,28-27,1.74,7,9,40
Star Fruit,6.4,27-28,8.31,13,8,34
Sapodilla,6.8,16-29,6.28,11,13,36
Chives,6.2,22-29,9.38,14,12,19
Mushrooms,6.3,19-26,7.65,9,14,32
Microgreens,6.7,17-33,1.87,6,11,26
Endive,6.5,17-29,0.53,12,13,37
Lychee,6.9,17-29,8.85,8,7,31
Curry Leaves,6.7,28-29,8.22,10,5,37
Rosemary,6.1,17-26,0.53,7,7,21
Sunflower,5.8,29-28,7.4,7,7,25
Hibiscus,6.8,24-28,6.3,5,8,22
Yam,6.5,30-29,5.96,5,15,37
Coconut,5.8,30-34,6.85,13,10,26
Bael,6.6,29-33,7.75,12,14,37
Arugula,5.7,15-33,6.08,8,11,40
Yam,6.4,23-27,9.85,14,6,37
Basil,6.1,19-27,5.55,9,5,28
Agarwood,6.7,20-32,4.2,9,9,30
Star Fruit,5.8,26-26,4.26,11,10,25
Cabbage,6.3,16-34,2.48,7,9,30
Yam,6.3,27-30,4.03,15,7,18
Mint,6.6,23-26,4.63,10,12,34
Watercress,5.9,21-27,7.79,15,14,33
Agarwood,5.6,15-29,0.53,13,8,29
Eggplant,6.1,29-25,7.75,8,15,15
Swiss Chard,5.8,22-31,7.99,7,14,29
Saffron,6.3,20-35,1.95,7,12,27
Radicchio,6.5,29-31,5.29,6,14,36
Saffron,5.7,20-26,4.98,8,14,32
Melons,6.4,19-28,4.08,10,10,32
Lettuce,5.5,24-29,9.73,15,14,26
Bael,5.6,28-27,4.72,14,9,27
Thyme,6.9,25-25,8.51,11,5,24
Yacon,5.7,16-33,5.2,8,7,24
Peppers,6.0,24-31,7.72,15,7,36
Cassava,6.7,30-28,4.24,6,6,22
Neem,6.7,23-35,9.1,5,7,18
Pumpkin,6.6,21-34,8.75,12,8,24
Rosemary,6.9,19-26,8.2,8,8,32
Eggplant,6.0,24-34,4.97,10,13,34
Fenugreek,5.6,27-34,5.62,7,7,37
Yam,5.5,26-29,2.7,9,7,17
Bitter Gourd,6.2,18-33,1.8,11,12,20
Celery,6.3,30-28,9.21,12,14,39
Rose Apple,6.9,27-26,4.15,13,6,39
Pumpkin,5.5,18-29,5.74,12,15,29
Taro,5.5,28-25,2.22,15,11,32
Vanilla,6.2,23-28,7.37,13,9,37
Gooseberry,5.6,24-27,9.77,8,15,20
Pineapple,6.8,17-35,1.81,9,8,40
Rosemary,6.9,20-32,8.76,7,6,29
Chamomile,5.6,22-35,8.97,6,14,35
Cranberry,6.4,22-29,3.3,8,11,31
Fig,5.7,18-25,5.4,14,15,15
Cassava,6.7,28-25,2.64,11,6,37
Turmeric,6.1,20-33,7.6,14,11,17
Rose Apple,5.8,24-34,3.49,13,13,31
Saffron,6.4,21-34,3.61,11,14,40
Guava,6.1,19-25,5.37,8,15,38
Rosemary,7.0,24-31,6.15,7,9,36
Saffron,6.5,17-35,3.26,12,7,21
Guava,6.3,27-30,2.33,14,12,18
Blackberry,5.7,17-31,3.64,5,13,27
Echinacea,5.7,26-32,0.73,15,12,30
Star Fruit,6.9,26-27,9.55,15,5,29
Pomegranate,6.7,24-32,5.1,7,6,37
Cauliflower,5.8,21-26,1.82,14,9,36
Papaya,6.4,21-28,2.36,14,10,34
Celery,6.8,26-26,8.22,7,7,31
Lychee,6.7,30-30,8.26,12,11,38
Coriander,6.1,21-28,7.77,8,6,19
Soursop,6.5,29-28,8.34,10,13,34
Radicchio,5.8,30-26,8.43,15,8,27
Vanilla,6.6,15-35,3.06,15,14,21
Cucumber,6.5,23-33,4.94,8,14,37
Cabbage,5.5,28-26,8.36,14,5,19
Kiwi,5.6,29-31,1.44,5,10,22
Chili Pepper,6.2,22-26,9.2,8,6,29
Beans,6.2,18-34,2.74,12,12,20
Mulberry,5.6,24-32,4.23,7,15,20
Bitter Gourd,5.7,30-34,8.97,15,7,19
Fenugreek,5.8,23-28,2.24,15,10,16
Thyme,6.6,19-35,0.67,9,15,29
Ginger,6.0,20-33,1.82,12,15,32
Sweet Corn,6.9,18-34,5.44,12,7,40
Hops,6.3,27-31,8.52,13,11,36
Bael,6.4,21-34,1.41,8,5,31
Parsley,6.0,27-33,9.09,10,15,23
Papaya,6.7,30-34,6.98,6,13,37
Mango,6.6,17-35,2.47,5,13,30
Tomato,6.2,22-33,8.38,11,14,16
Mustard Greens,6.9,27-31,7.45,10,9,15
Avocado,6.4,25-27,5.25,12,5,23
Asparagus,6.9,27-33,3.82,8,10,32
Taro,5.9,29-35,2.42,8,10,16
Blackberry,5.6,28-31,6.7,9,14,20
Carrots,6.5,30-26,9.62,7,8,28
Acerola Cherry,5.5,20-26,9.79,10,5,32
Persimmon,6.9,24-29,4.49,12,14,36
Aloe Vera,6.7,21-35,3.67,13,5,20
Hibiscus,6.2,16-31,8.31,10,6,28
Mustard Greens,6.4,26-27,0.88,14,7,20
Broccoli,5.5,20-35,0.83,5,15,25
Chamomile,6.4,28-34,6.74,9,11,35
Spinach,5.8,15-28,8.33,12,5,40
Chives,5.7,23-31,6.13,14,11,37
Betel Leaf,6.2,15-29,3.01,6,11,37
Sage,6.5,18-31,8.13,6,6,18
Persimmon,6.7,28-32,2.74,5,7,32
Bitter Gourd,6.0,24-34,9.69,11,11,23
Passionfruit,5.7,24-25,1.52,7,13,37
Raspberry,6.6,22-32,6.37,13,15,20
Snake Gourd,5.8,24-35,9.61,14,11,40
Sapodilla,6.0,19-29,9.2,6,12,29
Endive,5.8,19-30,4.74,6,11,17
Clove,7.0,30-31,2.94,12,9,31
Papaya,6.7,29-30,9.34,15,9,19
Ceylon Spinach,6.1,30-31,3.82,13,12,32
Bitter Gourd,6.6,18-29,9.92,10,13,15
Kiwi,5.5,19-28,4.88,8,9,40
Pineapple,6.8,22-25,0.59,11,13,40
Carrots,6.1,22-32,6.82,6,9,28
Papaya,6.5,29-32,6.52,12,13,18
Melons,5.8,26-28,1.5,12,9,30
Fennel,6.7,29-34,9.93,13,5,32
Kiwi,6.9,16-29,8.48,5,13,19
Curry Leaves,6.0,19-35,7.22,9,8,35
Moringa,6.0,23-26,3.88,6,12,30
Bitter Gourd,5.9,28-27,2.04,8,14,19
Alfalfa,6.5,21-30,3.1,8,13,23
Celery,6.6,16-31,1.08,5,7,34
Cassava,6.9,25-26,6.64,14,5,18
Cucumber,5.7,24-26,0.63,11,12,23
Yam,6.3,19-27,8.17,7,14,20
Sugarcane,7.0,19-35,0.77,10,14,20
Beets,5.9,30-27,3.86,6,9,39
Beans,6.8,21-28,2.67,6,14,19
Bok Choy,6.5,27-34,3.83,11,8,30
Hibiscus,5.5,24-25,1.78,11,10,40
Mango,6.7,19-25,8.74,6,8,15
Purslane,6.8,19-25,6.04,10,5,39
Yacon,5.7,15-26,8.7,12,10,29
Marjoram,6.8,15-28,0.93,6,15,30
Broccoli,6.5,24-27,4.8,6,11,35
Dandelion Greens,6.8,24-29,5.44,9,9,33
Carrots,6.2,21-25,6.25,7,9,34
Alfalfa,5.6,25-35,5.69,10,5,15
Sugarcane,6.4,17-28,5.95,8,14,32
Mint,6.5,28-25,9.06,15,11,29
Jasmine,5.6,21-26,1.06,12,14,39
Hibiscus,5.8,28-34,8.78,10,5,16
Vanilla,5.9,15-31,4.08,14,15,19
Moringa,6.0,15-27,4.77,5,9,19
Passionfruit,6.9,23-35,8.19,11,11,31
Tarragon,6.2,30-29,2.07,10,5,32
Hops,6.1,17-26,7.87,6,5,29
Dandelion Greens,6.2,18-34,2.41,12,7,30
Pineapple,5.9,20-26,1.2,9,12,23
Purslane,6.2,20-31,2.92,13,8,35
Mulberry,5.9,26-35,0.87,8,10,26
Kale,6.9,30-26,0.89,7,10,37
Taro,6.9,27-28,9.0,13,6,17
Lettuce,5.6,26-34,0.75,15,13,24
Curry Leaves,6.9,28-33,5.89,6,7,28
Jackfruit,5.9,21-27,6.24,14,9,26
Moringa,6.4,20-29,2.68,8,11,23
Aloe Vera,6.5,28-25,1.84,13,9,24
Swiss Chard,6.4,25-33,2.17,9,13,32
Kiwi,5.8,26-28,9.75,11,11,34
Tea,5.7,23-28,9.66,13,9,34
Fig,5.8,25-34,6.91,15,7,25
Sapodilla,6.0,25-31,0.51,12,13,40
Swiss Chard,5.8,29-28,1.77,6,14,30
Nutmeg,5.8,18-31,5.46,7,15,26
Clove,5.6,20-25,1.7,8,15,27
Beets,6.2,28-31,4.84,12,5,19
Wasabi,6.7,17-32,7.17,5,5,34
Sweet Corn,6.1,16-35,6.02,15,6,17
Clove,6.9,15-33,8.95,12,6,30
Pandan,6.7,29-28,5.35,8,6,17
Dragon Fruit,6.8,15-35,8.37,10,12,21
Echinacea,6.8,16-32,7.45,13,8,32
Jasmine,5.6,20-28,1.44,6,15,39
Sugarcane,6.2,28-35,5.01,11,6,26
Beets,6.1,20-32,7.25,10,13,35
Lemongrass,5.8,26-25,7.22,9,7,35
Blackberry,6.6,18-35,5.17,9,7,33
Ginger,6.5,15-34,2.21,6,12,26
Carrots,6.1,22-35,2.61,7,9,19
Gooseberry,5.5,22-25,6.58,8,15,39
Jasmine,6.0,22-26,9.46,12,9,19
Beets,6.2,25-32,2.96,13,11,24
Radicchio,6.6,23-28,2.41,8,11,16
Zucchini,6.1,24-32,4.67,5,8,22
Beans,5.7,28-31,2.64,8,13,28
Cauliflower,6.6,26-25,8.75,6,11,27
Ginger,5.9,27-25,1.39,9,15,25
Hibiscus,6.8,30-31,2.26,8,7,20
Clove,5.7,28-28,1.5,6,10,31
Cauliflower,6.0,17-27,9.11,14,12,15
Gooseberry,5.7,15-31,3.2,10,10,30
Camellia,6.2,25-32,0.96,5,6,16
Snake Gourd,5.8,28-27,7.69,11,7,16
Bok Choy,6.1,22-30,9.76,6,7,40
Bok Choy,6.3,16-26,5.3,11,12,24
Taro,5.5,25-29,0.58,9,14,35
Cauliflower,5.8,26-33,3.46,9,12,30
Marjoram,6.9,25-28,2.66,7,10,16
Eggplant,5.6,16-25,6.22,7,12,17
Kale,6.0,16-27,5.31,12,14,32
Lavender,6.3,17-30,6.17,15,10,15
Horseradish,5.8,16-31,1.05,11,12,20
Cucumber,6.8,26-25,2.17,6,10,21
Vanilla,6.3,21-30,5.9,10,14,21
Jackfruit,6.8,30-32,6.33,8,5,30
Yacon,6.4,24-28,2.21,9,12,19
Snake Gourd,6.5,19-33,7.04,5,13,33
Blackberry,5.9,24-29,6.69,9,11,17
Fig,6.9,18-30,2.51,10,10,18
Chives,6.3,18-32,1.48,13,13,20
Cranberry,5.7,20-28,8.14,13,8,37
Pandan,5.9,25-31,0.9,12,9,39
Peanuts,5.8,25-26,5.53,10,14,15
Watercress,6.5,23-31,5.74,14,5,16
Horseradish,6.6,20-35,3.73,10,11,29
Hops,6.5,16-34,8.05,5,6,31
Eggplant,7.0,23-31,6.72,11,11,21
Star Fruit,5.8,25-30,1.67,13,9,40
Coconut,5.6,24-29,2.13,6,8,30
Cauliflower,5.6,27-35,6.47,13,9,24
Hops,6.8,29-32,2.24,10,10,39
Chamomile,6.1,30-31,1.07,15,9,36
Chives,6.4,16-35,4.41,11,10,23
Peas,5.6,25-34,4.25,6,5,22
Mushrooms,6.7,18-32,5.41,10,11,27
Star Fruit,6.8,30-30,1.7,10,13,20
Saffron,6.8,21-25,9.23,9,9,15
Echinacea,5.9,27-34,3.13,11,15,16
Luffa,5.9,24-34,3.65,9,5,19
Coriander,5.9,16-27,8.57,12,13,19
Zucchini,6.2,18-25,7.81,5,13,19
Parsley,5.9,17-27,9.22,12,14,23
Ceylon Spinach,7.0,16-29,9.17,6,11,39
Dill,6.4,22-26,5.44,6,14,20
Sapodilla,6.7,26-25,1.5,12,8,22
Vanilla,5.8,25-27,8.36,14,15,30
Camellia,6.9,15-25,9.36,9,12,21
Wasabi,6.9,28-28,0.54,9,13,20
Tomato,5.6,21-27,1.49,14,15,38
Lychee,6.2,21-28,3.08,9,8,22
Sage,6.1,30-33,0.91,11,6,25
Cucumber,6.8,15-28,6.36,10,13,31
Chives,7.0,30-31,8.05,10,10,40
Mustard Greens,6.7,21-30,6.67,5,5,40
Camellia,7.0,16-31,7.0,12,13,17
Seaweed,6.2,20-29,2.73,13,10,24
Horseradish,7.0,23-35,2.69,8,11,31
Coconut,5.9,15-34,6.94,11,5,37
Seaweed,5.5,16-29,9.46,9,6,29
Dandelion Greens,5.9,28-30,2.99,6,13,18
Lavender,5.6,23-31,8.08,5,5,31
Raspberry,6.6,20-31,4.67,6,14,30
Soursop,6.8,19-34,0.51,5,6,27
Bitter Gourd,6.8,27-35,7.82,6,14,30
Watermelon,6.0,25-25,0.94,15,13,28
Hops,6.3,19-26,4.75,6,6,39
Hops,5.9,18-34,3.81,5,15,28
Bitter Gourd,5.6,25-30,4.35,5,12,39
Artichoke,6.7,21-34,3.34,11,7,25
Camellia,5.7,17-34,7.36,9,11,36
Blueberry,5.8,29-35,4.1,7,12,21
Beets,5.8,30-28,8.38,5,6,17
Echinacea,6.2,30-28,6.65,12,9,29
Blackberry,6.0,20-25,7.81,12,8,17
Carrots,6.1,16-35,0.91,10,14,15
Oregano,5.7,24-31,8.48,5,12,17
Yacon,6.5,28-26,3.19,15,12,23
Bok Choy,5.7,25-34,6.29,8,15,34
Spinach,5.7,27-27,4.28,12,15,40
Tea,6.3,26-31,3.19,13,12,26
Bitter Gourd,5.6,30-27,7.8,14,15,21
Mushrooms,5.6,23-34,6.03,9,15,24
Lemongrass,6.8,26-35,6.7,11,14,36
Turmeric,7.0,30-33,3.47,12,14,15
Jackfruit,6.5,22-35,8.25,5,7,25
Zucchini,6.0,24-30,1.01,10,5,31
Mustard Greens,5.8,19-25,2.56,12,13,24
Jasmine,6.4,26-30,6.57,15,9,18
Ginger,6.2,17-31,5.42,6,6,27
Pandan,6.2,18-34,2.07,14,10,18
Persimmon,5.7,27-27,2.98,10,12,16
Hibiscus,6.8,27-25,2.9,9,6,20
Jackfruit,5.6,25-25,2.88,11,6,27
Ginseng,5.7,16-33,6.44,8,9,15
Betel Leaf,5.6,30-29,2.51,10,14,21
Clove,5.6,27-27,1.48,11,6,33
Soybeans,6.4,29-30,1.13,10,12,23
Celery,6.4,18-33,0.62,15,11,27
Lychee,6.3,22-28,3.17,14,11,20
Peppers,6.1,24-28,1.23,9,14,26
Papaya,6.1,25-33,2.98,13,8,27
Swiss Chard,6.2,23-35,8.14,15,15,36
Rose Apple,6.0,20-28,7.39,11,13,30
Luffa,6.4,16-30,7.77,9,13,22
Soybeans,7.0,26-27,2.66,8,7,24
Sweet Corn,6.1,21-30,5.31,9,5,18
Persimmon,6.7,18-30,9.93,7,7,15
Endive,6.5,29-35,4.87,15,12,39
Endive,6.5,30-27,8.17,13,15,19
Stevia,6.6,23-30,5.39,14,11,34
Fenugreek,6.6,26-35,7.62,14,9,19
Spinach,6.6,28-35,3.61,8,14,30
Cucumber,6.9,27-26,8.44,11,9,40
Chili Pepper,6.3,20-26,0.74,11,6,32
Curry Leaves,6.2,30-31,1.67,15,7,17
Yam,5.7,22-26,9.91,5,8,25
Watermelon,6.1,26-34,7.71,5,5,16
Camellia,6.3,17-35,5.46,8,6,28
Watercress,6.3,23-25,4.45,13,7,23
Echinacea,5.5,30-32,8.43,8,8,31
Thyme,6.8,20-31,9.22,14,14,32
Bitter Gourd,6.6,28-34,7.0,8,7,23
Mushrooms,5.7,17-33,2.68,12,5,31
Persimmon,6.3,27-30,9.35,9,9,40
Pumpkin,6.4,22-28,4.79,13,15,22
Lychee,5.6,27-29,5.64,6,9,37
Saffron,5.9,29-31,8.68,10,8,17
Ceylon Spinach,6.9,30-31,6.69,5,13,36
Soursop,5.9,22-35,3.44,10,12,20
Luffa,6.9,16-35,1.09,11,13,19
Asparagus,6.6,15-28,2.53,10,9,29
Sapodilla,6.5,26-35,5.68,7,6,22
Rose Apple,6.6,29-34,4.65,13,9,20
Basil,5.6,27-34,3.79,7,6,20
Watercress,6.5,17-35,6.56,11,8,16
Cabbage,6.0,24-27,6.47,5,9,39
Pandan,6.9,17-25,4.06,12,9,39
Cabbage,6.4,27-32,4.68,6,14,18
Hibiscus,5.5,18-33,7.11,14,14,19
Mint,6.8,29-35,8.07,15,14,19
Acerola Cherry,6.2,21-25,8.66,8,5,32
Lettuce,5.5,30-28,2.69,10,7,32
Asparagus,5.9,23-30,4.89,5,13,24
Beans,5.7,18-26,6.84,9,8,19
Echinacea,5.6,23-28,3.06,10,7,17
Mulberry,5.7,23-34,7.58,10,7,40
Saffron,5.7,18-27,3.3,14,7,37
Taro,5.7,27-34,8.62,9,11,22
Aloe Vera,6.3,15-25,6.01,5,13,20
Yacon,6.2,19-29,7.9,15,10,39
Camellia,6.3,25-26,4.12,6,5,29
Snake Gourd,5.5,29-30,2.08,6,12,27
Vanilla,6.3,20-33,8.1,15,12,26
Lychee,6.4,21-34,6.75,7,8,25
Lettuce,5.7,30-28,6.0,7,5,24
Jackfruit,6.6,16-31,7.86,6,15,35
Clove,5.9,26-31,8.63,11,15,38
Jackfruit,5.7,30-31,1.72,7,7,33
Asparagus,6.3,24-34,5.28,10,11,22
Seaweed,6.3,22-30,3.71,14,8,39
Marjoram,6.1,29-29,5.3,14,8,38
Swiss Chard,6.0,21-25,5.45,15,7,28
Hibiscus,6.1,24-35,1.8,7,15,25
Dragon Fruit,6.8,24-35,1.65,9,6,27
Melons,5.6,28-32,2.03,15,8,38
Persimmon,6.4,28-28,8.81,11,5,17
Wasabi,6.4,25-31,7.96,6,12,33
Blackberry,6.1,25-28,4.01,6,9,33
Radicchio,6.7,16-30,1.07,8,13,26
Chives,6.9,24-26,0.99,8,15,29
Sage,6.2,17-33,3.07,7,8,19
Bael,6.8,15-30,8.74,14,5,27
Sugarcane,6.1,18-33,1.53,5,6,39
Spinach,5.6,27-27,1.49,5,14,29
Mushrooms,6.1,23-31,1.55,12,6,24
Zucchini,5.9,19-30,1.67,9,6,35
